iter	Passed	Remaining
0	160	73563
1	179	40987
2	194	29424
3	212	24132
4	231	20962
5	250	18852
6	268	17303
7	289	16293
8	308	15403
9	328	14732
10	344	13981
11	365	13596
12	382	13082
13	401	12747
14	424	12532
15	446	12333
16	468	12148
17	489	11969
18	510	11801
19	526	11532
20	543	11302
21	563	11157
22	586	11090
23	606	10970
24	628	10883
25	648	10774
26	668	10671
27	673	10342
28	693	10255
29	709	10117
30	728	10041
31	747	9948
32	763	9829
33	782	9755
34	803	9705
35	824	9663
36	839	9555
37	855	9450
38	869	9341
39	884	9245
40	899	9148
41	914	9060
42	930	8979
43	948	8923
44	967	8880
45	986	8836
46	1002	8767
47	1018	8703
48	1034	8631
49	1053	8594
50	1073	8563
51	1090	8511
52	1106	8453
53	1121	8392
54	1137	8337
55	1152	8272
56	1172	8248
57	1192	8220
58	1208	8169
59	1228	8151
60	1248	8127
61	1265	8080
62	1283	8047
63	1298	7996
64	1317	7965
65	1337	7942
66	1356	7916
67	1373	7875
68	1387	7822
69	1402	7776
70	1419	7736
71	1436	7701
72	1458	7694
73	1485	7706
74	1504	7684
75	1522	7652
76	1547	7656
77	1569	7645
78	1588	7623
79	1607	7595
80	1626	7568
81	1641	7526
82	1659	7499
83	1678	7474
84	1699	7457
85	1706	7382
86	1726	7360
87	1741	7323
88	1761	7304
89	1781	7283
90	1799	7258
91	1818	7235
92	1835	7202
93	1851	7168
94	1872	7154
95	1892	7136
96	1913	7120
97	1933	7103
98	1948	7067
99	1968	7046
100	1986	7021
101	2006	7002
102	2023	6974
103	2039	6942
104	2055	6908
105	2074	6887
106	2093	6867
107	2108	6832
108	2128	6816
109	2145	6786
110	2165	6768
111	2179	6734
112	2194	6701
113	2213	6680
114	2228	6646
115	2247	6627
116	2267	6608
117	2287	6591
118	2306	6570
119	2327	6555
120	2345	6533
121	2360	6502
122	2375	6469
123	2394	6450
124	2413	6430
125	2432	6409
126	2448	6380
127	2463	6350
128	2481	6328
129	2500	6307
130	2518	6287
131	2531	6252
132	2548	6226
133	2563	6197
134	2583	6180
135	2602	6161
136	2616	6130
137	2634	6108
138	2652	6088
139	2667	6057
140	2683	6032
141	2698	6005
142	2718	5987
143	2733	5960
144	2748	5933
145	2767	5915
146	2786	5895
147	2807	5880
148	2822	5852
149	2840	5832
150	2854	5803
151	2869	5776
152	2884	5749
153	2903	5731
154	2918	5704
155	2933	5679
156	2953	5661
157	2967	5634
158	2986	5616
159	3007	5600
160	3026	5582
161	3042	5559
162	3058	5535
163	3077	5516
164	3091	5490
165	3106	5464
166	3121	5439
167	3136	5413
168	3150	5387
169	3164	5361
170	3186	5347
171	3203	5326
172	3219	5303
173	3234	5278
174	3249	5254
175	3266	5234
176	3280	5208
177	3300	5191
178	3314	5166
179	3330	5144
180	3346	5121
181	3361	5097
182	3380	5079
183	3398	5060
184	3412	5036
185	3431	5017
186	3446	4995
187	3466	4978
188	3485	4960
189	3504	4942
190	3524	4926
191	3543	4909
192	3561	4889
193	3576	4867
194	3591	4844
195	3607	4822
196	3627	4805
197	3646	4788
198	3665	4770
199	3683	4751
200	3701	4732
201	3719	4714
202	3737	4695
203	3752	4672
204	3766	4648
205	3780	4624
206	3799	4606
207	3814	4584
208	3832	4566
209	3848	4544
210	3866	4526
211	3886	4509
212	3900	4486
213	3918	4467
214	3933	4445
215	3954	4430
216	3975	4414
217	3993	4396
218	4008	4374
219	4022	4351
220	4037	4329
221	4055	4311
222	4074	4293
223	4088	4270
224	4103	4249
225	4118	4227
226	4136	4209
227	4155	4191
228	4169	4169
229	4184	4148
230	4203	4131
231	4218	4109
232	4233	4088
233	4249	4067
234	4265	4047
235	4278	4024
236	4297	4007
237	4311	3985
238	4327	3965
239	4348	3949
240	4368	3933
241	4387	3915
242	4403	3895
243	4423	3879
244	4441	3861
245	4457	3840
246	4476	3823
247	4494	3805
248	4509	3784
249	4530	3768
250	4545	3748
251	4564	3731
252	4580	3711
253	4594	3690
254	4613	3672
255	4632	3655
256	4646	3633
257	4665	3616
258	4679	3595
259	4699	3578
260	4713	3557
261	4728	3537
262	4746	3519
263	4760	3498
264	4775	3477
265	4795	3461
266	4814	3443
267	4833	3426
268	4847	3405
269	4861	3385
270	4876	3364
271	4894	3347
272	4914	3330
273	4932	3312
274	4950	3294
275	4969	3276
276	4987	3259
277	5007	3242
278	5026	3224
279	5044	3207
280	5059	3186
281	5078	3169
282	5093	3149
283	5108	3129
284	5123	3110
285	5142	3092
286	5158	3073
287	5173	3053
288	5188	3034
289	5207	3016
290	5225	2998
291	5244	2981
292	5260	2962
293	5279	2945
294	5294	2925
295	5308	2905
296	5323	2885
