ID,risk_probability_default,decision
5008804,0.9999996636967013,Rejected
5008805,0.9999988915116969,Rejected
5008806,0.00019294353048101068,Approved
5008808,0.0008078016312846691,Approved
5008809,0.0008078016312846691,Approved
5008810,0.0006895119461936577,Approved
5008811,0.00024548975555528673,Approved
5008812,0.0015187983378265706,Approved
5008813,0.0015187983378265706,Approved
5008814,0.0015187983378265706,Approved
5008815,0.01125745846956874,Approved
5112956,0.004377079035167567,Approved
5008819,0.023505244747189707,Approved
5008820,0.028711415290222902,Approved
5008821,0.028711415290222902,Approved
5008822,0.028711415290222902,Approved
5008823,0.005184016353624182,Approved
5008824,0.0009805546789827667,Approved
5008825,0.9999998141780543,Rejected
5008826,0.9999997454441583,Rejected
5008830,0.9999995794840629,Rejected
5008831,0.9999997968226213,Rejected
5008832,0.9999997582944389,Rejected
5008834,7.49737280209263e-05,Approved
5008835,0.0025000049871671307,Approved
5008836,0.0009869442432017949,Approved
5008837,0.0009869442432017949,Approved
5008838,0.0010105871603347321,Approved
5008839,0.0005137042312307192,Approved
5008840,0.00026734861343612665,Approved
5008841,0.00019345600605456104,Approved
5008842,0.0037173690296062583,Approved
5008843,0.0008356567223689185,Approved
5008844,4.805549694090757e-05,Approved
5008846,0.00039858486158743053,Approved
5008847,4.805549694090757e-05,Approved
5008849,0.00039858486158743053,Approved
5008850,3.531409272114454e-05,Approved
5008851,0.00039858486158743053,Approved
5008852,2.1322360139204415e-05,Approved
5008853,5.007932947211136e-05,Approved
5008854,0.00029246740581664394,Approved
5008855,5.755563886106224e-06,Approved
5008856,0.0003812340314044009,Approved
5008857,2.7119403297917098e-05,Approved
5008858,0.0074608032773257026,Approved
5008859,0.007865431943093033,Approved
5008860,0.0003812340314044009,Approved
5008861,0.0003812340314044009,Approved
5008862,0.00040906576228414863,Approved
5008863,0.00029246740581664394,Approved
5008864,0.00040906576228414863,Approved
5008865,0.00029246740581664394,Approved
5008866,0.00029246740581664394,Approved
5008867,0.0003812340314044009,Approved
5112846,0.0003812340314044009,Approved
5008868,0.000634833945085011,Approved
5008870,0.0009275099623698729,Approved
5008872,0.9999999378031051,Rejected
5008873,0.0009865410893353163,Approved
5008874,0.00014144962308952215,Approved
5008875,0.0002923536825811713,Approved
5008876,0.0005669249598819234,Approved
5008877,0.002185823362765342,Approved
5008878,0.9999998421878757,Rejected
5008879,0.0009865410893353163,Approved
5008880,0.011254702910726297,Approved
5008881,0.003575408582895871,Approved
5008882,0.0002923536825811713,Approved
5008884,2.142643437703647e-05,Approved
5008888,0.005952351127337997,Approved
5008889,0.0024665904491556687,Approved
5008890,0.005952351127337997,Approved
5112847,0.005952351127337997,Approved
5008891,0.205232340323873,Approved
5008892,0.03714213364007539,Approved
5008893,0.022203231384113443,Approved
5008894,0.022203231384113443,Approved
5008895,0.021632627893918673,Approved
5008896,0.03714213364007539,Approved
5008897,0.03714213364007539,Approved
5008898,0.03465191206653076,Approved
5008899,0.03714213364007539,Approved
5008900,0.03465191206653076,Approved
5008901,0.03714213364007539,Approved
5008902,0.9999998840253682,Rejected
5008903,0.03714213364007539,Approved
5008904,0.9999998840253682,Rejected
5008905,0.03714213364007539,Approved
5008906,0.9999998840253682,Rejected
5008907,0.03714213364007539,Approved
5008908,0.9999998840253682,Rejected
5008909,0.03714213364007539,Approved
5008910,0.9999998840253682,Rejected
5008911,0.03714213364007539,Approved
5008912,0.9999998840253682,Rejected
5008913,0.03714213364007539,Approved
5008914,0.999999940701872,Rejected
5008915,0.03714213364007539,Approved
5008916,0.9999999042093876,Rejected
5008917,0.03714213364007539,Approved
5008918,0.9999999036546943,Rejected
5008919,0.03714213364007539,Approved
5008920,0.9999999007056338,Rejected
5008921,0.07037428287022161,Approved
5008922,0.9999999522293289,Rejected
5008923,0.056946127994232765,Approved
5008924,0.056946127994232765,Approved
5008925,0.056946127994232765,Approved
5008926,0.9999999817093613,Rejected
5008927,0.9556683593686123,Rejected
5008928,0.9556683593686123,Rejected
5008929,0.205232340323873,Approved
5008930,0.08085838172204621,Approved
5008931,0.06529968544179865,Approved
5008932,0.06529968544179865,Approved
5008933,0.06529968544179865,Approved
5008934,0.02221535490130196,Approved
5008935,0.02221535490130196,Approved
5008936,0.004276510206200183,Approved
5008937,0.013275254809081876,Approved
5008938,0.013275254809081876,Approved
5008939,0.0007906689265564114,Approved
5008940,0.013275254809081876,Approved
5008941,0.205232340323873,Approved
5008942,0.9999997454916855,Rejected
5008943,0.00036282224804286365,Approved
5008944,0.9999997454916855,Rejected
5008945,0.9999997454916855,Rejected
5008946,0.9999997454916855,Rejected
5008947,0.002454388553700243,Approved
5008948,0.002454388553700243,Approved
5008949,5.532665214700965e-05,Approved
5008950,0.002454388553700243,Approved
5008951,5.967506718158539e-05,Approved
5008952,5.967506718158539e-05,Approved
5008953,0.0010955511872394973,Approved
5008954,0.0044781895768982736,Approved
5008955,0.00948151370075703,Approved
5008956,0.00035243315433647435,Approved
5008957,0.00035243315433647435,Approved
5008958,0.0010827481618792944,Approved
5008959,0.002309614457760162,Approved
5008960,0.00020802139914939221,Approved
5008962,0.0010898881191242322,Approved
5008963,0.00026630083668188525,Approved
5008966,0.9999999333933884,Rejected
5008967,0.08781318006402898,Approved
5008971,0.02984216647159974,Approved
5008973,0.02984216647159974,Approved
5008974,0.0021816550860830927,Approved
5008975,0.9999987909481073,Rejected
5008976,0.001128535631193943,Approved
5008977,0.004462171845286518,Approved
5008978,0.9999987909481073,Rejected
5008979,0.0006603999128362169,Approved
5008980,0.0007163806396767897,Approved
5008981,0.00016369146613966703,Approved
5008983,0.00020702247812744292,Approved
5008984,6.699850187961075e-07,Approved
5008986,0.00016369146613966703,Approved
5008987,0.00016369146613966703,Approved
5008988,2.6443157313680177e-05,Approved
5008991,0.0004506720706299421,Approved
5008992,0.0022135292881283694,Approved
5008993,0.00021808650131512793,Approved
5008994,0.0005314266915959694,Approved
5008995,0.00036867697450977454,Approved
