iter	Logloss
0	0.6555111153
1	0.6221696684
2	0.5927628468
3	0.5666194686
4	0.5434863635
5	0.5230690831
6	0.504958362
7	0.4889752382
8	0.474670033
9	0.4619347292
10	0.4507059245
11	0.4405829826
12	0.431528265
13	0.4234957893
14	0.4166060568
15	0.4105491765
16	0.4049513829
17	0.4000909066
18	0.3956939475
19	0.3918393679
20	0.3882827494
21	0.3851069657
22	0.3823612658
23	0.3798633456
24	0.3775247488
25	0.3755540672
26	0.3737221177
27	0.3719951039
28	0.3705549468
29	0.3691684987
30	0.3680251874
31	0.3668468166
32	0.3657967933
33	0.3648747612
34	0.3639533834
35	0.3631669849
36	0.3623871209
37	0.3617383754
38	0.3609960212
39	0.3604903857
40	0.3599833971
41	0.359411267
42	0.3588853968
43	0.3585161382
44	0.3580857902
45	0.3577702244
46	0.3574294343
47	0.3571115886
48	0.3568287127
49	0.3564643736
50	0.3562168762
51	0.3559095459
52	0.3555830824
53	0.3553533624
54	0.3552020061
55	0.3549766816
56	0.3547880276
57	0.3545820595
58	0.3543606147
59	0.3541185888
60	0.353916548
61	0.3537399761
62	0.3535533712
63	0.3532893529
64	0.353119058
65	0.3529473179
66	0.3528060836
67	0.3527480684
68	0.3526462147
69	0.3524979596
70	0.3522913391
71	0.3521255379
72	0.3520184008
73	0.3518649929
74	0.3516543703
75	0.3514505331
76	0.3512194615
77	0.3510458165
78	0.3509582609
79	0.3507889857
80	0.350673328
81	0.3505037704
82	0.3502536773
83	0.3500740789
84	0.3500044829
85	0.3498531468
86	0.34968777
87	0.3495228682
88	0.3493851886
89	0.3492117731
90	0.3490540175
91	0.348999993
92	0.3488649341
93	0.3487615209
94	0.3486395227
95	0.3484743111
96	0.3483731018
97	0.3482935518
98	0.3481342574
99	0.3479458181
100	0.3477375563
101	0.347639786
102	0.3475003098
103	0.3474100857
104	0.3473850508
105	0.3472701219
106	0.3470740531
107	0.3469278638
108	0.3467619099
109	0.3465880198
110	0.3463848337
111	0.3462858549
112	0.3461815584
113	0.3460835739
114	0.3459771228
115	0.345837752
116	0.3455766183
117	0.3453851261
118	0.3452134659
119	0.3450314768
120	0.3448010078
121	0.3446218009
122	0.344468503
123	0.3442558709
124	0.3440736414
125	0.3439127475
126	0.3437991036
127	0.3437017972
128	0.3435538609
129	0.3434185095
130	0.3432804957
131	0.3431282518
132	0.3430270849
133	0.3429007889
134	0.3427369918
135	0.3426438661
136	0.3425478808
137	0.3423536768
138	0.3421705066
139	0.3420222413
140	0.3418796217
141	0.3418167998
142	0.3416812571
143	0.341536351
144	0.3414745404
145	0.3413229044
146	0.3412043355
147	0.3411291824
148	0.3410396142
149	0.3409569097
150	0.3407745585
151	0.3406784176
152	0.3405300182
153	0.3404132466
154	0.3403449852
155	0.3402515634
156	0.3401009528
157	0.3399590942
158	0.3397748948
159	0.3396514654
160	0.3395629154
161	0.339403372
162	0.3393130826
163	0.3391703254
164	0.3390555413
165	0.338971018
166	0.33887799
167	0.3387789547
168	0.338657647
169	0.3385552023
170	0.3383662393
171	0.3382668793
172	0.338168707
173	0.3380294212
174	0.3378640573
175	0.3377771409
176	0.337674365
177	0.3375282522
178	0.3373711292
179	0.3372647449
180	0.3372010456
181	0.337105579
182	0.3370075321
183	0.3368802098
184	0.336791005
185	0.3366456532
186	0.3365738043
187	0.3364619988
188	0.336357684
189	0.3363067511
190	0.3361980302
191	0.3360988121
192	0.3360107759
193	0.3359019656
194	0.3358121778
195	0.3356976922
196	0.3356245215
197	0.3354705773
198	0.3353375765
199	0.335244268
200	0.3350105165
201	0.334945417
202	0.3347545771
203	0.3346886969
204	0.3344820126
205	0.3344159203
206	0.3342535064
207	0.3340096874
208	0.3339021743
209	0.3338129739
210	0.3337436608
211	0.3336527565
212	0.3335303552
213	0.3334231681
214	0.3332890322
215	0.3332019515
216	0.3330889414
217	0.3329800679
218	0.3328474099
219	0.3327412483
220	0.3326764157
221	0.3325397297
222	0.3324399546
223	0.3322705753
224	0.3320789671
225	0.331984464
