iter	Passed	Remaining
0	152	121606
1	162	64647
2	170	45402
3	180	35857
4	189	30115
5	198	26291
6	207	23542
7	216	21430
8	226	19864
9	236	18657
10	245	17630
11	255	16809
12	265	16089
13	275	15458
14	284	14902
15	291	14298
16	301	13897
17	311	13516
18	320	13188
19	330	12906
20	341	12651
21	351	12428
22	361	12203
23	370	11993
24	380	11803
25	390	11621
26	400	11457
27	410	11319
28	420	11173
29	430	11040
30	439	10901
31	449	10787
32	459	10679
33	469	10574
34	479	10470
35	489	10381
36	499	10304
37	509	10223
38	519	10144
39	530	10076
40	540	10007
41	550	9932
42	560	9859
43	569	9792
44	580	9737
45	591	9693
46	602	9654
47	613	9606
48	624	9567
49	635	9535
50	646	9491
51	657	9463
52	669	9437
53	680	9406
54	691	9364
55	701	9325
56	712	9289
57	722	9246
58	733	9211
59	743	9175
60	754	9143
61	765	9108
62	775	9072
63	785	9035
64	796	9003
65	806	8973
66	817	8942
67	827	8905
68	838	8879
69	848	8852
70	859	8826
71	870	8797
72	880	8767
73	891	8749
74	902	8724
75	913	8700
76	923	8674
77	935	8656
78	945	8633
79	957	8614
80	967	8592
81	978	8571
82	989	8549
83	1000	8528
84	1011	8510
85	1023	8494
86	1035	8482
87	1046	8470
88	1059	8463
89	1071	8449
90	1082	8433
91	1093	8416
92	1104	8396
93	1115	8375
94	1126	8357
95	1137	8339
96	1148	8322
97	1159	8307
98	1170	8289
99	1181	8269
100	1192	8250
101	1202	8229
102	1213	8209
103	1224	8193
104	1233	8167
105	1244	8150
106	1255	8131
107	1266	8114
108	1277	8097
109	1288	8081
110	1299	8065
111	1309	8046
112	1320	8030
113	1331	8013
114	1341	7992
115	1352	7977
116	1363	7959
117	1375	7948
118	1385	7927
119	1396	7910
120	1406	7892
121	1416	7873
122	1427	7856
123	1437	7838
124	1448	7821
125	1459	7804
126	1469	7787
127	1480	7770
128	1490	7754
129	1501	7736
130	1511	7717
131	1521	7700
132	1532	7683
133	1541	7663
134	1552	7649
135	1563	7631
136	1573	7614
137	1584	7598
138	1594	7584
139	1605	7568
140	1616	7553
141	1626	7538
142	1637	7521
143	1647	7506
144	1658	7490
145	1668	7475
146	1679	7459
147	1690	7447
148	1701	7432
149	1711	7414
150	1721	7400
151	1732	7386
152	1743	7372
153	1753	7356
154	1764	7340
155	1774	7324
156	1785	7310
157	1794	7293
158	1805	7278
159	1816	7264
160	1826	7250
161	1837	7235
162	1847	7220
163	1858	7206
164	1868	7191
165	1878	7175
166	1889	7160
167	1899	7145
168	1909	7131
169	1920	7116
170	1931	7104
171	1941	7088
172	1952	7075
173	1962	7060
174	1972	7046
175	1983	7032
176	1993	7017
177	2004	7003
178	2014	6987
179	2024	6973
180	2035	6960
181	2045	6945
182	2055	6931
183	2066	6919
184	2077	6904
185	2087	6891
186	2097	6876
187	2108	6862
188	2118	6848
189	2128	6834
190	2139	6820
191	2149	6806
192	2159	6792
193	2170	6780
194	2181	6766
195	2191	6752
196	2201	6739
197	2212	6725
198	2222	6711
199	2232	6698
200	2243	6684
201	2253	6671
202	2263	6658
203	2274	6644
204	2284	6631
205	2295	6618
206	2305	6604
207	2315	6590
208	2326	6578
209	2336	6564
210	2347	6551
211	2358	6540
212	2369	6530
213	2380	6517
214	2391	6505
215	2401	6494
216	2413	6482
217	2424	6473
218	2435	6462
219	2447	6451
220	2458	6440
221	2468	6426
222	2478	6413
223	2489	6400
224	2499	6387
225	2510	6375
226	2520	6362
227	2531	6350
228	2541	6338
229	2552	6325
230	2562	6313
231	2573	6300
232	2584	6289
233	2595	6276
234	2605	6264
235	2615	6251
236	2626	6239
237	2637	6227
238	2647	6214
239	2658	6202
240	2668	6190
241	2678	6177
242	2689	6165
243	2700	6153
244	2711	6141
245	2721	6129
246	2732	6117
247	2742	6104
248	2753	6092
249	2763	6080
250	2774	6068
251	2784	6055
252	2795	6043
253	2805	6031
254	2816	6019
255	2827	6007
256	2837	5995
257	2848	5983
258	2858	5970
259	2868	5957
260	2879	5946
261	2890	5934
262	2900	5923
263	2911	5910
264	2921	5898
265	2932	5886
266	2942	5874
267	2953	5862
268	2963	5849
269	2974	5838
270	2984	5826
271	2995	5814
272	3006	5804
273	3017	5792
274	3028	5780
275	3039	5771
276	3050	5759
277	3061	5747
278	3071	5735
279	3081	5723
280	3092	5711
281	3103	5700
282	3113	5688
283	3124	5677
284	3135	5665
285	3146	5654
286	3157	5643
287	3167	5631
288	3178	5620
289	3189	5608
290	3199	5596
291	3209	5584
292	3221	5573
293	3231	5562
294	3242	5551
295	3253	5539
296	3264	5528
297	3274	5516
298	3285	5504
299	3296	5493
300	3306	5481
301	3316	5469
302	3327	5457
303	3338	5446
304	3348	5434
305	3359	5423
306	3369	5411
307	3380	5399
308	3391	5388
309	3401	5377
310	3413	5366
311	3424	5356
312	3434	5344
313	3445	5332
314	3455	5320
315	3466	5309
316	3476	5297
317	3486	5285
318	3497	5273
319	3508	5262
320	3518	5250
321	3529	5239
322	3540	5228
323	3550	5216
324	3562	5206
325	3572	5194
326	3583	5183
327	3593	5171
328	3604	5160
329	3615	5149
330	3625	5137
331	3636	5125
332	3647	5115
333	3658	5104
334	3668	5092
335	3679	5080
336	3690	5069
337	3701	5059
338	3712	5048
339	3723	5037
340	3734	5026
341	3745	5015
342	3755	5004
343	3766	4992
344	3777	4982
345	3788	4970
346	3798	4958
347	3809	4947
348	3819	4936
349	3829	4924
350	3840	4912
351	3850	4900
352	3862	4890
353	3872	4879
354	3883	4868
355	3894	4857
356	3904	4845
357	3915	4834
358	3926	4822
359	3936	4811
360	3946	4799
361	3957	4788
362	3968	4777
363	3978	4765
364	3989	4754
365	4000	4743
366	4010	4732
367	4021	4720
368	4032	4709
369	4043	4698
370	4053	4687
371	4064	4675
372	4074	4664
373	4085	4653
374	4096	4642
375	4107	4631
376	4118	4620
377	4129	4610
378	4141	4599
379	4152	4589
380	4163	4578
381	4174	4568
382	4185	4557
383	4196	4546
384	4208	4536
385	4219	4525
386	4230	4515
387	4242	4504
388	4253	4493
389	4264	4483
390	4275	4472
391	4286	4461
392	4298	4451
393	4309	4440
394	4320	4429
395	4331	4419
396	4342	4408
397	4354	4397
398	4365	4387
399	4376	4376
400	4387	4366
401	4399	4355
402	4409	4344
403	4420	4333
404	4431	4322
405	4442	4311
406	4454	4301
407	4465	4290
408	4476	4279
409	4486	4268
410	4498	4257
411	4509	4246
412	4520	4235
413	4531	4224
414	4542	4214
415	4554	4203
416	4565	4193
417	4576	4181
418	4587	4171
419	4598	4160
420	4609	4149
421	4620	4138
422	4631	4127
423	4642	4116
424	4653	4106
425	4664	4095
426	4675	4084
427	4687	4073
428	4698	4062
429	4709	4052
430	4719	4040
431	4731	4030
432	4742	4019
433	4753	4008
434	4764	3998
435	4775	3987
436	4787	3976
437	4798	3965
438	4809	3955
439	4820	3944
440	4831	3933
441	4843	3922
442	4854	3912
443	4866	3901
444	4877	3890
445	4888	3879
446	4899	3869
447	4910	3858
448	4921	3847
449	4932	3836
450	4943	3825
451	4954	3814
452	4965	3803
453	4977	3793
454	4988	3782
455	4999	3771
456	5010	3760
457	5021	3749
458	5032	3739
459	5044	3728
460	5055	3717
461	5066	3706
462	5078	3696
463	5089	3685
464	5100	3674
465	5111	3663
466	5122	3652
467	5133	3641
468	5144	3630
469	5155	3620
470	5167	3609
471	5178	3598
472	5189	3587
473	5201	3577
474	5212	3566
475	5223	3555
476	5234	3544
477	5245	3533
478	5255	3522
479	5266	3511
480	5276	3499
481	5287	3488
482	5298	3477
483	5308	3466
484	5319	3454
485	5329	3443
486	5340	3432
487	5350	3420
488	5360	3409
489	5371	3398
490	5381	3386
491	5392	3375
492	5402	3364
493	5413	3353
494	5423	3341
495	5434	3330
496	5444	3319
497	5455	3308
498	5466	3297
499	5477	3286
500	5488	3275
501	5499	3264
502	5509	3253
503	5520	3242
504	5531	3231
505	5542	3220
506	5554	3209
507	5566	3199
508	5578	3189
509	5589	3178
510	5602	3168
511	5614	3158
512	5625	3147
513	5637	3136
514	5647	3125
515	5658	3114
516	5669	3103
517	5679	3092
518	5689	3080
519	5700	3069
520	5711	3058
521	5722	3047
522	5733	3036
523	5744	3025
524	5755	3014
525	5766	3003
526	5776	2992
527	5786	2981
528	5797	2969
529	5808	2958
530	5818	2947
531	5829	2936
